mlossid     year         citations   scholarurl
65          2008         42          http://scholar.google.fr/scholar?cites=8084870368880251937&as_sdt=2005&sciodt=0,5&hl=es
70          2008         127         http://scholar.google.fr/scholar?cites=13275716278485548038&as_sdt=2005&sciodt=0,5&hl=es
61          2008         2942        http://scholar.google.com/scholar?cites=13994175380392112295&as_sdt=5,39&sciodt=0,39&hl=en
63          2008         18          http://scholar.google.com/scholar?cites=9880737004593203320&as_sdt=5,39&sciodt=0,39&hl=en
86          2009         14          http://scholar.google.com/scholar?cites=8343624583171174116&as_sdt=5,39&sciodt=0,39&hl=en
49          2009         1           http://scholar.google.com/scholar?cites=12993111257834832109&as_sdt=5,39&sciodt=0,39&hl=en
136         2009         81          http://scholar.google.com/scholar?cites=1232682014595735772&as_sdt=5,39&sciodt=0,39&hl=en
137         2009         2           http://scholar.google.com/scholar?cites=10104080573800196614&as_sdt=5,39&sciodt=0,39&hl=en
83          2009         61          http://scholar.google.com/scholar?cites=4744986085107399984&as_sdt=5,39&sciodt=0,39&hl=en
151         2009         84          http://scholar.google.com/scholar?cites=15133148804885239597&as_sdt=5,39&sciodt=0,39&hl=en
58          2009         92          http://scholar.google.com/scholar?cites=17051713860639827038&as_sdt=5,39&sciodt=0,39&hl=en
238         2010         28          http://scholar.google.com/scholar?cites=17151942672395202840&as_sdt=5,39&sciodt=0,39&hl=en
156         2010         138         http://scholar.google.com/scholar?cites=14093185205391466045&as_sdt=5,39&sciodt=0,39&hl=en
216         2010         13          http://scholar.google.com/scholar?cites=2724452228329216788&as_sdt=5,39&sciodt=0,39&hl=en
201         2010         52          http://scholar.google.com/scholar?cites=5037697418891209650&as_sdt=5,39&sciodt=0,39&hl=en
258         2010         238         http://scholar.google.com/scholar?cites=2239952914815526417&as_sdt=5,39&sciodt=0,39&hl=en
253         2010         8           http://scholar.google.com/scholar?cites=15028904535491147280&as_sdt=5,39&sciodt=0,39&hl=en
2           2010         196         http://scholar.google.com/scholar?cites=1220719155804714385&as_sdt=5,39&sciodt=0,39&hl=en
261         2010         162         http://scholar.google.com/scholar?cites=3714466066015007621&as_sdt=5,39&sciodt=0,39&hl=en
